STATION,STATION_NAME,DATE,TAVG
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980630,76
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980701,73
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980702,74
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980703,76
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980704,78
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980705,74
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980706,72
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980707,73
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980708,69
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980709,74
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980710,76
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980711,74
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980712,76
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980713,79
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980714,80
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980715,80
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980716,83
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980717,82
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980718,81
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980719,79
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980720,82
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980721,84
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980722,87
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980723,86
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980724,80
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980725,77
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980726,78
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980727,79
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980728,80
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980729,83
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980730,80
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980731,74
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980801,73
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980802,77
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980803,78
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980804,80
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980805,79
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980806,80
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980807,78
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980808,77
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980809,80
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980810,81
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980811,82
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980812,78
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980813,73
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980814,75
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980815,78
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980816,81
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980817,76
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980818,79
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980819,67
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980820,71
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980821,77
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980822,76
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980823,79
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980824,85
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980825,87
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980826,81
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980827,79
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980828,77
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980829,81
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980830,81
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980831,77
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980901,75
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980902,72
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980903,72
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980904,76
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980905,73
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980906,82
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980907,78
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980908,68
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980909,62
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980910,65
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980911,71
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980912,78
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980913,75
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980914,74
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980915,77
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980916,80
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980917,73
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980918,69
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980919,71
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980920,75
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980921,77
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980922,70
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980923,61
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980924,61
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980925,66
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980926,72
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980927,81
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980928,69
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980929,65
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980930,68
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19981001,66
